,book_id,title,format,authors,size,publicationYear,genres
550634,6960.0,Misery,Paperback,3389,370,1988,"fiction,mystery,thriller,crime,fantasy,paranormal"
550668,21022.0,The Witch Of Portobello,Hardcover,566,320,2007,"fiction,fantasy,paranormal,romance,mystery,thriller,crime"
552348,4764.0,"Lies (Gone, #3)",Hardcover,1599723,447,2010,"young-adult,fiction,fantasy,paranormal,romance,mystery,thriller,crime"
553221,18956.0,"Little House in the Big Woods (Little House, #1)",Paperback,"5300,30916",198,2007,"fiction,history,historical fiction,biography,children,young-adult,non-fiction"
558113,5238.0,"Scarlet (The Lunar Chronicles, #2)",Hardcover,4684322,454,2013,"fantasy,paranormal,young-adult,fiction,romance"
558258,16247.0,"The Son of Neptune (The Heroes of Olympus, #2)",Hardcover,15872,521,2011,"young-adult,fiction,children,fantasy,paranormal,romance"
558444,19855.0,Invisible Monsters Remix,Hardcover,2546,302,2012,"fiction,mystery,thriller,crime"
560078,6173.0,"Blue Moon (The Immortals, #2)",Paperback,200317,284,2009,"young-adult,fantasy,paranormal,romance,fiction"
565414,19913.0,"Gregor and the Prophecy of Bane (Underland Chronicles, #2)",Paperback,153394,312,2005,"fantasy,paranormal,young-adult,fiction,children"
565988,1226.0,The Time Traveler's Wife,Paperback,498072,528,2003,"fiction,romance,fantasy,paranormal,history,historical fiction,biography"
567870,24042.0,Lipstick Jungle,Paperback,4415,496,2006,"fiction,romance"
568487,1020.0,The Invention of Hugo Cabret,Hardcover,38120,525,2007,"fiction,history,historical fiction,biography,young-adult,children,comics,graphic,fantasy,paranormal,mystery,thriller,crime"
568632,6539.0,"Lord of Misrule (The Morganville Vampires, #5)",Paperback,15292,244,2009,"young-adult,fantasy,paranormal,romance,fiction,mystery,thriller,crime"
569789,7230.0,"Flowers in the Attic (Dollanganger, #1)",Paperback,1353301,389,1979,"fiction,young-adult,mystery,thriller,crime,romance,fantasy,paranormal"
570424,8392.0,American Psycho,Paperback,2751,399,1991,"fiction,mystery,thriller,crime"
571435,1601.0,Orphan Train,Paperback,157146,278,2013,"fiction,history,historical fiction,biography,young-adult"
571643,8405.0,Salem's Lot,Hardcover,"3389,540202",594,2005,"fiction,fantasy,paranormal,mystery,thriller,crime"
572116,561.0,In the Heart of the Sea: The Tragedy of the Whaleship Essex,Paperback,1641,238,2001,"non-fiction,history,historical fiction,biography,fiction"
575014,77765.0,Wall and Piece,Paperback,28811,240,2006,"non-fiction,history,historical fiction,biography,comics,graphic,poetry"
576471,1640.0,"The Fever Code (The Maze Runner, #0.6)",Hardcover,348878,347,2016,"young-adult,fiction,fantasy,paranormal,mystery,thriller,crime"
577651,7340.0,"Murder at the Vicarage (Miss Marple, #1)",Hardcover,123715,288,2006,"mystery,thriller,crime,fiction,history,historical fiction,biography"
579081,1518.0,The Nest,Hardcover,393731,368,2016,fiction
579914,20789.0,Don Quixote,Paperback,"4037220,69766,492304",1023,2003,"fiction,history,historical fiction,biography,fantasy,paranormal"
580393,17389.0,"A Memory of Light (Wheel of Time, #14)",Hardcover,"6252,38550",909,2013,"fantasy,paranormal,fiction,romance"
581821,1000.0,"Twilight (Twilight, #1)",Paperback,941441,498,2006,"young-adult,fantasy,paranormal,fiction,romance"
582843,22417.0,The Iliad/The Odyssey,Paperback,"903,1005,280215",1556,1999,"fantasy,paranormal,history,historical fiction,biography,non-fiction,fiction,poetry,romance"
584531,6194.0,"The Knife of Never Letting Go (Chaos Walking, #1)",Hardcover,370361,479,2008,"young-adult,fiction,fantasy,paranormal,mystery,thriller,crime,romance"
584723,23114.0,North of Beautiful,Hardcover,190922,373,2009,"young-adult,romance,fiction"
585428,20512.0,Because of Winn-Dixie,Paperback,"13663,443700",182,2001,"fiction,children,young-adult,history,historical fiction,biography"
586613,14576.0,Carry On,Hardcover,4208569,522,2015,"romance,fantasy,paranormal,young-adult,fiction,mystery,thriller,crime"
586817,63546.0,"These Happy Golden Years (Little House, #8)",Hardcover,"5300,30916",289,1953,"fiction,history,historical fiction,biography,children,young-adult,romance,non-fiction"
587090,80.0,Wonder (Wonder #1),Hardcover,4859212,316,2012,"young-adult,fiction,children"
589617,741.0,Their Eyes Were Watching God,Paperback,15151,237,2006,"fiction,history,historical fiction,biography,romance,young-adult"
591597,50780.0,"The Pianist: The Extraordinary Story of One Man's Survival in Warsaw, 1939–45",Hardcover,"1803294,25355",222,1999,"non-fiction,history,historical fiction,biography,fiction,comics,graphic"
592114,37092.0,The Unexpected Everything,Hardcover,3351454,519,2016,"young-adult,romance,fiction"
592429,19298.0,"Midnight Sun (Twilight, #1.5)",ebook,941441,264,2008,"young-adult,fantasy,paranormal,romance,fiction"
592485,21711.0,Beauty Queens,Hardcover,2526,396,2011,"young-adult,fiction,romance,fantasy,paranormal,mystery,thriller,crime"
598176,18954.0,The Great Dune Trilogy,Paperback,58,910,2005,"fiction,fantasy,paranormal"
600271,38819.0,Eleven Minutes,Paperback,"566,24758",273,2003,"fiction,romance"
600272,23355.0,Veronika Decides to Die,Paperback,"566,24758",210,2006,"romance,fiction,young-adult,mystery,thriller,crime,non-fiction"
601601,825.0,The Last of the Mohicans (The Leatherstocking Tales #2),Paperback,9121,410,1982,"fiction,history,historical fiction,biography,romance,young-adult"
602309,1168.0,The Corrections,Paperback,2578,653,2002,fiction
602531,15363.0,Harriet the Spy (Harriet the Spy #1),Mass Market Paperback,2560,300,2002,"children,fiction,young-adult,mystery,thriller,crime"
603775,19893.0,"Darkly Dreaming Dexter (Dexter, #1)",Paperback,10482,288,2006,"fiction,mystery,thriller,crime,fantasy,paranormal"
603970,6542.0,"Midnight Alley (The Morganville Vampires, #3)",Mass Market Paperback,15292,245,2007,"young-adult,fantasy,paranormal,romance,fiction,mystery,thriller,crime"
604948,6912.0,Nightshade (Nightshade #1; Nightshade World #4),Hardcover,3041100,452,2010,"young-adult,fantasy,paranormal,romance,fiction,mystery,thriller,crime"
604955,28558.0,Manuscript Found in Accra,Hardcover,"566,24758",208,2013,"fiction,history,historical fiction,biography,non-fiction,fantasy,paranormal"
605402,173639.0,Dracula,Hardcover,"10180,81221,2884615,6988",208,2005,"comics,graphic,fiction,fantasy,paranormal,history,historical fiction,biography,mystery,thriller,crime,romance"
605603,14849.0,The Last Song,Hardcover,2345,390,2009,"romance,fiction,young-adult"
605987,27909.0,The 3 Mistakes of My Life,Paperback,61124,258,2008,"fiction,romance,young-adult,non-fiction"
606293,874.0,Airframe,Paperback,5194,431,1997,"fiction,mystery,thriller,crime,romance,fantasy,paranormal"
607995,2369.0,"The Assassin's Blade (Throne of Glass, #0.1-0.5)",ebook,3433047,448,2014,"fantasy,paranormal,young-adult,romance,fiction"
609192,150.0,Never Let Me Go,Paperback,4280,288,2010,"fiction,romance,fantasy,paranormal,young-adult,mystery,thriller,crime"
612023,6127.0,"The Girl of Fire and Thorns (Fire and Thorns, #1)",Hardcover,4074051,423,2011,"fantasy,paranormal,young-adult,fiction,romance,history,historical fiction,biography,mystery,thriller,crime"
616034,19521.0,"The Blood of Olympus (The Heroes of Olympus, #5)",Hardcover,15872,516,2014,"fantasy,paranormal,young-adult,fiction,romance,children"
620418,412.0,Quiet: The Power of Introverts in a World That Can't Stop Talking,Hardcover,4101935,337,2012,"non-fiction,history,historical fiction,biography"
620447,5960.0,Ascend (Trylle #3),Kindle Edition,3486415,326,2011,"fantasy,paranormal,young-adult,romance,fiction"
621437,27904.0,The Best Laid Plans,Paperback,9068,372,1998,"fiction,mystery,thriller,crime,romance"
623253,1786.0,"Fairest (The Lunar Chronicles, #3.5)",Hardcover,4684322,222,2015,"young-adult,fantasy,paranormal,fiction,romance"
626371,19890.0,Cloudy With a Chance of Meatballs,Paperback,"5336,78790",32,1982,"children,fiction,fantasy,paranormal,young-adult"
627057,21476.0,Keeping You a Secret,Paperback,52989,250,2005,"young-adult,romance,fiction"
627754,13982.0,"Fool Moon (The Dresden Files, #2)",Mass Market Paperback,10746,401,2001,"fantasy,paranormal,mystery,thriller,crime,fiction"
628813,1079.0,The Absolutely True Diary of a Part-Time Indian,Hardcover,"4174,202782",230,2007,"fiction,young-adult,non-fiction,history,historical fiction,biography,children,comics,graphic"
630135,12801.0,"The Carnivorous Carnival (A Series of Unfortunate Events, #9)",Hardcover,"36746,44524",286,2002,"fiction,young-adult,children,fantasy,paranormal,mystery,thriller,crime"
633835,26121.0,"World After (Penryn & the End of Days, #2)",Kindle Edition,4890182,320,2013,"fantasy,paranormal,romance,fiction,young-adult,mystery,thriller,crime"
635727,1116.0,"New Moon (Twilight, #2)",Hardcover,941441,563,2006,"young-adult,fantasy,paranormal,romance,fiction"
637351,21352.0,Percy Jackson's Greek Heroes,Hardcover,"15872,14920",404,2015,"fantasy,paranormal,young-adult,fiction,children,non-fiction"
639311,267.0,"Mockingjay (The Hunger Games, #3)",Kindle Edition,153394,390,2010,"young-adult,fiction,fantasy,paranormal,romance,mystery,thriller,crime"
639441,17964.0,Helter Skelter: The True Story of the Manson Murders,Paperback,"28828,61345",689,2001,"non-fiction,mystery,thriller,crime,history,historical fiction,biography,fiction"
641022,1554.0,"Siege and Storm (The Grisha, #2)",Hardcover,4575289,435,2013,"fantasy,paranormal,young-adult,romance,fiction"
646878,475.0,"Wolf Hall (Thomas Cromwell, #1)",Paperback,58851,653,2010,"fiction,history,historical fiction,biography"
650377,6399.0,"Lover Eternal (Black Dagger Brotherhood, #2)",Mass Market Paperback,20248,441,2006,"fantasy,paranormal,romance,fiction"
651844,28625.0,"Kidnapped (David Balfour, #1)",Paperback,854076,288,2002,"fiction,history,historical fiction,biography,young-adult,children,mystery,thriller,crime"
652866,18919.0,Hoot,Paperback,8178,292,2006,"young-adult,fiction,children,mystery,thriller,crime"
653371,1621.0,The Casual Vacancy,Hardcover,1077326,503,2012,"fiction,mystery,thriller,crime,fantasy,paranormal"
653576,21074.0,On the Jellicoe Road,Paperback,47104,290,2006,"young-adult,romance,mystery,thriller,crime,fiction"
653853,5289.0,"Tiger's Destiny (The Tiger Saga, #4)",Hardcover,3097905,464,2012,"fantasy,paranormal,young-adult,romance,fiction,mystery,thriller,crime"
654786,20631.0,Redeeming Love,Paperback,6492,464,2005,"fiction,romance,history,historical fiction,biography,young-adult"
655780,17542.0,Aesop's Fables,Paperback,"12452,732554,2889648",306,2003,"fiction,children,fantasy,paranormal,young-adult,history,historical fiction,biography,poetry"
656184,1241.0,Milk and Honey,Paperback,8075577,204,2014,"poetry,non-fiction,romance,fiction,young-adult"
656237,39792.0,"A Wind in the Door (A Wrinkle in Time Quintet, #2)",Mass Market Paperback,106,203,1976,"fantasy,paranormal,young-adult,fiction,children"
658346,4731.0,"Poison Study (Study, #1)",Paperback,445303,409,2007,"fantasy,paranormal,young-adult,fiction,romance,mystery,thriller,crime,history,historical fiction,biography"
659540,827.0,"The Celestine Prophecy (Celestine Prophecy, #1)",Paperback,8203,247,1997,"fiction,fantasy,paranormal,non-fiction,mystery,thriller,crime"
659770,13185.0,The Prince,Paperback,"16201,68040,260074,807652",140,2003,"non-fiction,history,historical fiction,biography,fiction"
661816,63999.0,"Marked / Betrayed / Chosen / Untamed (House of Night, #1-4)",Paperback,"17015,17010",1264,2009,"young-adult,fantasy,paranormal,romance,fiction,mystery,thriller,crime"
662986,7487.0,"Torment (Fallen, #2)",Hardcover,2905297,452,2010,"young-adult,fantasy,paranormal,romance,fiction,mystery,thriller,crime"
664121,7048.0,"City of Fallen Angels (The Mortal Instruments, #4)",Hardcover,150038,424,2011,"fantasy,paranormal,young-adult,romance,fiction"
665173,19985.0,Chanakya's Chant,Paperback,4230687,448,2010,"fiction,history,historical fiction,biography,mystery,thriller,crime,fantasy,paranormal"
667732,14945.0,"The Opal Deception  (Artemis Fowl, #4)",Paperback,10896,416,2009,"young-adult,fiction,fantasy,paranormal,children,mystery,thriller,crime"
667733,19958.0,"The Arctic Incident (Artemis Fowl, #2)",Paperback,10896,277,2004,"fantasy,paranormal,young-adult,fiction,children,mystery,thriller,crime"
668211,28928.0,The World Is Flat: A Brief History of the Twenty-first Century,Hardcover,16759765,616,2006,"non-fiction,history,historical fiction,biography"
675575,7220.0,"The Notebook (The Notebook, #1)",Hardcover,2345,214,2004,"fiction,romance,young-adult,history,historical fiction,biography"
675957,20729.0,Villette,Paperback,"1036615,1169504,5237086,27003",573,2001,"fiction,romance,history,historical fiction,biography"
676208,7959.0,"Are You There God? It's Me, Margaret",Hardcover,12942,149,2001,"young-adult,fiction,children"
677089,23350.0,The Divine Comedy,Hardcover,"5031312,198144,7333",798,1995,"poetry,fiction,fantasy,paranormal,history,historical fiction,biography"
685239,6164.0,"Blue Bloods (Blue Bloods, #1)",Hardcover,21911,302,2007,"young-adult,fantasy,paranormal,romance,fiction,mystery,thriller,crime"
686147,1186.0,Under the Tuscan Sun,Paperback,4826,304,1997,"non-fiction,fiction,romance,history,historical fiction,biography"
687827,12962.0,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Hardcover,108424,994,2011,"fantasy,paranormal,fiction,romance,young-adult"
688356,21080.0,"The House of Hades (The Heroes of Olympus, #4)",Hardcover,15872,597,2013,"fantasy,paranormal,young-adult,fiction,romance,children"
690308,20034.0,My Ántonia,Paperback,881203,232,2000,"fiction,history,historical fiction,biography,young-adult,romance"
691322,19910.0,Wonderstruck,Hardcover,38120,640,2011,"fiction,history,historical fiction,biography,young-adult,children,comics,graphic,mystery,thriller,crime,fantasy,paranormal"
693036,49748.0,The Sign of Four,Paperback,"2448,16881,75548",129,2001,"mystery,thriller,crime,fiction,history,historical fiction,biography"
693801,8039.0,The First Phone Call from Heaven,Hardcover,2331,323,2013,"fiction,mystery,thriller,crime,fantasy,paranormal"
694198,1001.0,The Tenant of Wildfell Hall,Paperback,"8249,8253",542,1996,"fiction,romance,history,historical fiction,biography,mystery,thriller,crime"
694854,50537.0,"The Complete Anne of Green Gables Boxed Set (Anne of Green Gables, #1-8)",Paperback,5350,2088,1998,"children,romance,history,historical fiction,biography,fiction,young-adult"
695104,17582.0,What I Talk About When I Talk About Running,Hardcover,"3354,403782",188,2008,"non-fiction,history,historical fiction,biography,fiction,comics,graphic"
696499,85486.0,The Krishna Key,Paperback,4230687,475,2012,"fiction,mystery,thriller,crime,history,historical fiction,biography,fantasy,paranormal"
698868,2867.0,"Cruel Beauty (Cruel Beauty Universe, #1)",Hardcover,6474354,352,2014,"fantasy,paranormal,young-adult,romance,fiction,mystery,thriller,crime"
700930,7225.0,She's Come Undone,Mass Market Paperback,3505,465,1998,"fiction,young-adult,romance"
703266,2589.0,The Waste Lands,Hardcover,"3389,7431",422,2003,"fantasy,paranormal,fiction,mystery,thriller,crime"
703547,1568.0,"Messenger (The Giver, #3)",Paperback,2493,169,2006,"young-adult,fiction,fantasy,paranormal,children"
703555,7388.0,King Lear,Paperback,947,316,2004,"fiction,poetry,history,historical fiction,biography"
704061,17376.0,"Prince of Thorns (The Broken Empire, #1)",Hardcover,4721536,384,2011,"fantasy,paranormal,fiction,young-adult"
704118,12800.0,"The Slippery Slope (A Series of Unfortunate Events, #10)",Hardcover,"36746,44524",337,2003,"fiction,young-adult,children,fantasy,paranormal,mystery,thriller,crime"
708385,719.0,Beowulf,Paperback,"4699102,29574",213,2001,"fiction,fantasy,paranormal,history,historical fiction,biography,poetry,non-fiction"
710688,28688.0,The Case for Christ,Paperback,639,367,1998,"non-fiction,history,historical fiction,biography,fiction"
712399,305611.0,An Awfully Big Adventure,Paperback,39738,208,2003,"fiction,history,historical fiction,biography"
712446,19503.0,"Red Queen (Red Queen, #1)",Hardcover,7074943,383,2015,"fantasy,paranormal,young-adult,fiction,romance"
715554,839.0,Lord of the Flies,Paperback,306,182,1999,"fiction,young-adult,fantasy,paranormal,history,historical fiction,biography,children,mystery,thriller,crime"
716698,22859.0,Going Bovine,Hardcover,2526,480,2009,"young-adult,fantasy,paranormal,fiction,romance"
720928,1330.0,Euphoria,Hardcover,117786,256,2014,"fiction,history,historical fiction,biography,romance"
722879,19990.0,"The Immortals of Meluha (Shiva Trilogy, #1)",Paperback,4343092,436,2010,"fiction,fantasy,paranormal,history,historical fiction,biography,romance,mystery,thriller,crime"
723009,1505.0,This Is Where It Ends,Hardcover,6439440,285,2016,"young-adult,fiction,mystery,thriller,crime,romance"
723139,52164.0,"The Viper's Nest (39 Clues, #7)",Hardcover,17216,190,2010,"mystery,thriller,crime,young-adult,fiction,children,fantasy,paranormal,history,historical fiction,biography"
723696,862.0,The Catcher in the Rye,Paperback,819789,277,2001,"fiction,young-adult,history,historical fiction,biography"
724415,19074.0,Oliver Twist,Paperback,"239579,68038,11022",608,2003,"fiction,history,historical fiction,biography,young-adult,children,mystery,thriller,crime"
726156,24716.0,A Moveable Feast,Paperback,1455,182,2012,"non-fiction,fiction,history,historical fiction,biography,comics,graphic"
726937,1117.0,"Breaking Dawn (Twilight, #4)",Hardcover,941441,756,2008,"fantasy,paranormal,young-adult,romance,fiction"
730056,6085.0,"Fallen Too Far (Rosemary Beach, #1; Too Far, #1)",Kindle Edition,4872191,300,2012,"romance,young-adult,fiction"
731285,6162.0,"Revelations (Blue Bloods, #3)",Hardcover,21911,264,2008,"young-adult,fantasy,paranormal,romance,fiction,mystery,thriller,crime"
733518,17268.0,"Before They Are Hanged (The First Law, #2)",Trade Paperback,276660,441,2007,"fantasy,paranormal,fiction"
738211,879.0,The Count of Monte Cristo,Paperback,"4785,224319",1276,2003,"fiction,history,historical fiction,biography,romance,mystery,thriller,crime,fantasy,paranormal"
738350,307.0,"Where'd You Go, Bernadette",Hardcover,1588088,330,2012,"fiction,mystery,thriller,crime,young-adult"
744147,17190.0,David Copperfield,Paperback,"239579,63801",974,2004,"fiction,history,historical fiction,biography,romance,young-adult,children"
744345,19334.0,"Lord of Shadows (The Dark Artifices, #2)",Hardcover,150038,701,2017,"fantasy,paranormal,young-adult,romance,fiction,mystery,thriller,crime"
744885,1408.0,The Guernsey Literary and Potato Peel Pie Society,Hardcover,"1194527,63116",277,2008,"fiction,history,historical fiction,biography,romance"
745052,1242.0,What Alice Forgot,Paperback,322069,476,2010,"fiction,romance,mystery,thriller,crime"
747101,19416.0,"Forgive Me, Leonard Peacock",Hardcover,1251730,288,2013,"young-adult,fiction"
747754,16629.0,Steal Like an Artist: 10 Things Nobody Told You About Being Creative,Paperback,2985039,160,2012,"non-fiction,comics,graphic"
748137,21923.0,"Janet Evanovich Three and Four Two-Book Set (Stephanie Plum, #3-4)",Mass Market Paperback,2384,682,2002,"mystery,thriller,crime,fiction,romance"
748856,6452.0,"Beautiful Disaster (Beautiful, #1)",Kindle Edition,4464118,319,2011,"romance,young-adult,fiction"
749363,21377.0,"Redwall (Redwall, #1)",Paperback,5329,352,2006,"fantasy,paranormal,young-adult,fiction,children"
750343,13190.0,Cloud Atlas,Paperback,6538289,509,2004,"fiction,history,historical fiction,biography,fantasy,paranormal,mystery,thriller,crime,romance"
751508,7506.0,"Crescendo (Hush, Hush, #2)",Hardcover,2876763,427,2010,"young-adult,fantasy,paranormal,romance,fiction,mystery,thriller,crime"
751916,17627.0,"Full Dark, No Stars",Hardcover,3389,368,2010,"fiction,mystery,thriller,crime,fantasy,paranormal"
753794,58137.0,"James Potter and the Vault of Destinies (James Potter, #3)",ebook,1127619,803,2010,"fantasy,paranormal,young-adult,fiction,mystery,thriller,crime,children"
754758,12911.0,Beyond the Grave (The 39 Clues #4),Hardcover,11912,190,2009,"mystery,thriller,crime,children,fiction,young-adult,fantasy,paranormal,history,historical fiction,biography"
755862,7231.0,Chelsea Chelsea Bang Bang,Hardcover,20357,244,2010,"non-fiction,history,historical fiction,biography,fiction"
759443,400.0,The Tale of Peter Rabbit,Hardcover,11593,72,2002,"children,fiction,fantasy,paranormal,young-adult"
760693,21802.0,Before I Die,Hardcover,628636,336,2007,"romance,fiction,young-adult"
763596,15100.0,"Guilty Pleasures (Anita Blake, Vampire Hunter, #1)",Paperback,9550,355,2004,"fantasy,paranormal,romance,fiction,mystery,thriller,crime"
767687,4729.0,"Magic Study (Study, #2)",Hardcover,445303,392,2006,"fantasy,paranormal,young-adult,romance,fiction,mystery,thriller,crime,history,historical fiction,biography"
769516,14946.0,"Grip of the Shadow Plague (Fablehaven, #3)",Hardcover,25052,477,2008,"fantasy,paranormal,young-adult,fiction,children,mystery,thriller,crime"
773688,20001.0,"Death on the Nile (Hercule Poirot, #17)",Paperback,123715,214,1978,"mystery,thriller,crime,fiction,history,historical fiction,biography,romance"
774252,29208.0,Psycho,Paperback,12540,208,1999,"fiction,mystery,thriller,crime"
774944,8043.0,Tuesdays with Morrie,Paperback,"2331,4840538",210,2000,"non-fiction,fiction,history,historical fiction,biography,young-adult,comics,graphic"
776119,35746.0,Ways of Seeing,Paperback,29919,176,1990,"non-fiction,history,historical fiction,biography,comics,graphic"
776474,39472.0,"Morning, Noon & Night",Paperback,9068,388,1996,"fiction,mystery,thriller,crime,romance,young-adult"
777828,707.0,A Tale of Two Cities,Paperback,"239579,61986,3128534",489,2003,"fiction,history,historical fiction,biography,romance,young-adult"
777862,17036.0,When You Are Engulfed in Flames,Hardcover,2849,323,2008,"non-fiction,fiction,history,historical fiction,biography,comics,graphic"
778133,6808.0,"The Fall of Five (Lorien Legacies, #4)",Hardcover,3380908,355,2013,"young-adult,fantasy,paranormal,fiction,romance,mystery,thriller,crime"
778449,5543.0,"Ink Exchange (Wicked Lovely, #2)",Hardcover,175855,325,2008,"fantasy,paranormal,young-adult,romance,fiction"
779200,15467.0,Blink: The Power of Thinking Without Thinking,Paperback,1439,296,2007,"non-fiction,fiction"
780000,17624.0,The Mist,Paperback,3389,240,2007,"fiction,mystery,thriller,crime,fantasy,paranormal"
780168,15450.0,"Pride and Prejudice and Zombies (Pride and Prejudice and Zombies, #1)",Paperback,"169377,1265",320,2009,"fantasy,paranormal,romance,fiction,history,historical fiction,biography,young-adult,mystery,thriller,crime"
780658,19289.0,"The Awakening (The Vampire Diaries, #1)",Paperback,50873,311,1999,"young-adult,fantasy,paranormal,romance,fiction,mystery,thriller,crime"
783210,19517.0,"The Bone Season (The Bone Season, #1)",Hardcover,5830526,466,2013,"fantasy,paranormal,young-adult,fiction,romance,history,historical fiction,biography,mystery,thriller,crime"
784387,18949.0,"Dealing with Dragons (Enchanted Forest Chronicles, #1)",Paperback,"36122,268524",212,2002,"fantasy,paranormal,young-adult,fiction,children,romance"
784636,19870.0,The Song of Achilles,Hardcover,176372,352,2011,"fiction,history,historical fiction,biography,fantasy,paranormal,romance,young-adult"
785130,8378.0,"Along Came a Spider (Alex Cross, #1)",Paperback,3780,435,2003,"mystery,thriller,crime,fiction"
785133,797.0,"Kiss the Girls (Alex Cross, #2)",Paperback,3780,458,2000,"mystery,thriller,crime,fiction"
786464,407.0,11/22/63,Hardcover,3389,849,2011,"fiction,history,historical fiction,biography,fantasy,paranormal,mystery,thriller,crime,romance"
787868,7896.0,The Rainmaker,Paperback,721,419,2005,"fiction,mystery,thriller,crime"
789215,6763.0,"Paranormalcy (Paranormalcy, #1)",Hardcover,3027554,335,2010,"young-adult,fantasy,paranormal,romance,fiction,mystery,thriller,crime"
790416,7099.0,1Q84,Hardcover,"3354,7306,403782",925,2011,"fiction,fantasy,paranormal,mystery,thriller,crime,romance"
790729,16269.0,The Complete Fairy Tales,Hardcover,"6378,41876,69163,278924",803,1996,"children,fiction,young-adult,fantasy,paranormal,romance"
792236,6420.0,"Reason to Breathe (Breathing, #1)",Kindle Edition,4907787,377,2011,"romance,young-adult,fiction"
793019,35874.0,"England, England",Mass Market Paperback,"1462,58234",441,2002,"fiction,fantasy,paranormal,non-fiction,history,historical fiction,biography"
793075,6690.0,"Sweet Peril (Sweet, #2)",Paperback,4279785,371,2013,"young-adult,fantasy,paranormal,romance,fiction"
794894,848.0,The Grapes of Wrath,Paperback,585,455,2002,"fiction,history,historical fiction,biography,young-adult"
796566,17218.0,Invisible Monsters,Paperback,2546,297,2000,"fiction,mystery,thriller,crime"
796795,126804.0,The Strange Case of Dr. Jekyll and Mr. Hyde and Other Stories,Paperback,"854076,350820",252,2004,"fiction,fantasy,paranormal,history,historical fiction,biography,mystery,thriller,crime"
797463,20735.0,Wicked: The Grimmerie,Hardcover,"14013,14014,148442,3498741",192,2005,"fantasy,paranormal,non-fiction,fiction,romance,mystery,thriller,crime"
799085,1616.0,"The Sweetness at the Bottom of the Pie (Flavia de Luce, #1)",Hardcover,1074866,374,2009,"mystery,thriller,crime,young-adult,fiction,history,historical fiction,biography"
799089,13372.0,Into the Water,Hardcover,1063732,386,2017,"mystery,thriller,crime,fiction"
802466,17130.0,The Metamorphosis and Other Stories,Paperback,"5223,3145559,3863546",224,2003,"fiction,fantasy,paranormal"
803575,22268.0,"Dragonflight (Dragonriders of Pern, #1)",Paperback,26,299,2005,"fantasy,paranormal,fiction,young-adult,romance"
803903,39583.0,You're Never Weird on the Internet,Hardcover,"3440476,18015",272,2015,"non-fiction,history,historical fiction,biography,comics,graphic"
804346,621.0,In Cold Blood,Paperback,431149,343,1994,"non-fiction,mystery,thriller,crime,fiction,history,historical fiction,biography"
805371,17630.0,The Neverending Story,Hardcover,"15619,38449,262689",396,1997,"fantasy,paranormal,fiction,young-adult,children"
805718,28648.0,The Children of Húrin,Hardcover,"656983,9533,9545",313,2007,"fantasy,paranormal,fiction,young-adult"
806148,772.0,The Hobbit,Paperback,656983,366,2002,"young-adult,fantasy,paranormal,children,fiction"
808119,2287.0,"The Jewel (The Lone City, #1)",Hardcover,6549285,358,2014,"young-adult,fantasy,paranormal,romance,fiction"
808389,7335.0,Little Dorrit,Paperback,"239579,120480,213519",985,2003,"fiction,history,historical fiction,biography,romance,mystery,thriller,crime"
810630,17072.0,Ethan Frome,Paperback,16,128,2006,"fiction,romance,history,historical fiction,biography,young-adult"
811136,7517.0,"Matched (Matched, #1)",Hardcover,1304470,369,2010,"young-adult,romance,fiction,fantasy,paranormal"
812836,2787.0,"Heir of Fire (Throne of Glass, #3)",Hardcover,3433047,565,2014,"fantasy,paranormal,young-adult,romance,fiction,mystery,thriller,crime"
814482,19541.0,"Shopaholic & Baby (Shopaholic, #5)",Hardcover,6160,359,2007,"fiction,romance,young-adult"
814552,21062.0,"Insurgent (Divergent, #2)",Hardcover,4039811,525,2012,"young-adult,fiction,fantasy,paranormal,romance"
815099,7222.0,"Delirium (Delirium, #1)",Paperback,2936493,441,2012,"young-adult,romance,fiction,fantasy,paranormal"
816986,4988.0,"Beautiful Bastard (Beautiful Bastard, #1)",ebook,6556689,320,2013,"romance,fiction"
818314,14084.0,Foundation and Empire (Foundation #2),Hardcover,16667,256,2004,"fiction,fantasy,paranormal"
818315,14083.0,Second Foundation (Foundation #3),Hardcover,16667,256,2004,"fiction,fantasy,paranormal,history,historical fiction,biography,mystery,thriller,crime"
821861,1009.0,The Memory Keeper's Daughter,Paperback,6876,401,2006,"fiction,history,historical fiction,biography,mystery,thriller,crime,romance,young-adult"
822601,7360.0,"A Scandal in Bohemia (The Adventures of Sherlock Holmes, #1)",Paperback,"752721,2448",85,2000,"fiction,history,historical fiction,biography,mystery,thriller,crime,young-adult"
822742,13565.0,"The Fiery Cross (Outlander, #5)",Mass Market Paperback,3617,1443,2005,"fiction,history,historical fiction,biography,romance,fantasy,paranormal"
822745,1555.0,"Outlander (Outlander, #1)",Mass Market Paperback,3617,850,2005,"fiction,history,historical fiction,biography,fantasy,paranormal,romance"
826808,4675.0,Nerve,Hardcover,5342951,304,2012,"young-adult,mystery,thriller,crime,fiction,romance,fantasy,paranormal"
827076,588.0,"I, Robot (Robot #0.1)",Hardcover,16667,224,2004,"fiction,fantasy,paranormal,mystery,thriller,crime"
827154,19964.0,"The Last Battle (Chronicles of Narnia, #7)",Paperback,1069006,224,2005,"fiction,fantasy,paranormal,young-adult,children"
